Drug	Target
DB00359	CYP2C9
DB02058	FGFR2
DB00404	CYP3A5
DB03861	KCNMB2
DB00675	FMO3
DB07584	GSK3B
DB00740	CYP1A1
DB04970	HTR1A
DB04447	PPIB
DB07853	SLK
DB08583	ABL1
DB00393	CACNA1F
DB03059	ECHS1
DB07374	RPL11
DB08162	PRKACA
DB02377	PNP
DB01250	IFNG
DB00421	CYP11B2
DB01222	NR3C1
DB04927	SQLE
DB04792	PRSS1
DB00929	PTGER2
DB04522	PRKACA
DB01236	GABRA6
DB01017	IL1B
DB01185	ESR1
DB03958	DCPS
DB04794	CYP2C19
DB05147	TUBA3E
DB00359	CYP3A4
DB00005	TNF
DB00131	ADCY1
DB03019	CDK2
DB07689	DHRS4L1
DB00157	ALDH3B1
DB01136	CYP2C9
DB00199	ALB
DB00952	HTR1F
DB02659	COX8A
DB04957	CYP3A4
DB08916	ERBB4
DB02422	MAN1B1
DB00458	CHRM3
DB00911	CYP3A4
DB00829	CYP2C9
DB00665	AR
DB03703	ADH1B
DB08879	TNFSF13B
DB02260	ALAD
DB00586	KCNQ3
DB05024	VDR
DB00794	CYP2C8
DB00540	SLC6A4
DB00143	GSTA2
DB00114	GADL1
DB04841	CACNA1H
DB00738	CYP2D6
DB00786	MMP1
DB04799	MT-CYB
DB04796	VDR
DB01136	CYP1A1
DB03483	PTPN1
DB08039	CAMK2D
DB01100	CYP2C19
DB00116	AMT
DB03581	GPI
DB01238	DRD3
DB03594	CA2
DB01041	CYP1A2
DB00704	UGT1A1
DB04803	HMOX1
DB00268	HTR2B
DB00701	CYP2C9
DB00448	ATP4A
DB00463	GABRB3
DB01445	MAOB
DB01161	SLC6A3
DB00583	CES1
DB01558	GABRB2
DB04232	MMP3
DB07834	MAPK14
DB06148	ADRA2A
DB00586	ASIC1
DB08342	TRAPPC4
DB00434	HTR2A
DB00050	LHCGR
DB00777	HTR2A
DB00055	SERPINE1
DB03127	PRSS1
DB02938	PLA2G1B
DB04132	GSTP1
DB00337	CYP3A4
DB00834	CYP3A4
DB05066	TNF
DB08912	CYP3A4
DB00342	CYP2D6
DB01589	GABRA5
DB02602	CA2
DB00862	CYP3A4
DB00334	ADRA1B
DB00321	KCND3
DB01588	GABRA2
DB00157	HSD11B2
DB00720	SLC25A4
DB01624	DRD5
DB04946	CYP2D6
DB02908	SRC
DB00641	HMGCR
DB01241	CYP2C9
DB01138	CYP2C9
DB02336	SRC
DB01002	SCN10A
DB00463	GRIA2
DB06741	UGT1A9
DB01301	CYP3A4
DB00237	GABRA5
DB01017	CASP3
DB01394	TUBB
DB03598	CA2
DB00313	CYP2B6
DB00857	CYP2C9
DB00142	GRIK1
DB01418	CYP2C9
DB04940	TUBB1
DB00114	GLDC
DB01939	PRSS1
DB04971	PPARA
DB00786	MMP7
DB00530	CYP2C8
DB04896	GRIN2B
DB00075	C1QA
DB03316	TGFB3
DB00439	CYP2C9
DB00363	DRD1
DB00365	CYP3A4
DB00786	MMP15
DB01238	CHRM5
DB00675	PRKCZ
DB02039	KAT5
DB04855	CYP3A4
DB04655	HNMT
DB00829	GABRE
DB01095	CYP3A4
DB00531	CYP3A7
DB00142	GRIA4
DB01242	CYP2C19
DB07470	MYH14
DB08082	MAOB
DB00428	CYP1A2
DB00098	FCGR2B
DB08918	CYP2C8
DB00134	MSRA
DB00074	IL2RB
DB06623	ADRA2A
DB07876	PKIA
DB03814	QDPR
DB00408	HTR6
DB05492	HTR2C
DB06262	ADRB3
DB00142	GRIN3B
DB04958	CD22
DB06756	PRODH
DB00483	CHRM2
DB00673	CYP3A7
DB00009	PLG
DB04147	IGHV3-23
DB00767	CHRM5
DB00949	CYP3A4
DB04474	S100A7
DB07164	CDK2
DB08174	F10
DB06800	OPRK1
DB08635	IGHV3-30
DB08482	MMP1
DB07484	CPA1
DB01213	CYP2E1
DB07179	CDK2
DB01189	GABRA3
DB02866	CA2
DB07778	UQCRC2
DB00246	HTR6
DB04678	ABO
DB08896	NTRK1
DB00321	KCNQ2
DB06987	LTF
DB00544	UPP1
DB06148	CYP1A2
DB00216	PTGS1
DB07763	UQCRFS1
DB05335	PTGS2
DB04827	AOX1
DB00226	SLC6A2
DB03033	MMP13
DB07712	NCOA2
DB06757	ACO1
DB02427	DHFR
DB01045	CYP2C19
DB01411	CYP2C9
DB00082	GHR
DB00321	CHRM4
DB06774	MAOA
DB06894	FAAH
DB00358	CYP3A4
DB01296	NFKB2
DB01161	GRIN3A
DB04491	DPP4
DB06702	CYP2D6
DB00013	SERPINA5
DB00623	CYP2D6
DB07524	PIM1
DB00805	ACHE
DB00594	ASIC1
DB00675	EBP
DB04315	EIF2S3
DB01218	KCNH2
DB00921	CYP3A7
DB00418	GRIK2
DB00943	CYP3A43
DB00945	PTGS2
DB07954	PDE4D
DB08818	C1QBP
DB05232	SCN1A
DB00808	KCNE1
DB00466	CYP1A1
DB00408	HTR1A
DB03309	SULT2B1
DB00398	BRAF
DB01694	B3GAT1
DB06151	SLC7A11
DB07648	CHEK1
DB02230	PNP
DB08901	KDR
DB06712	CACNA2D1
DB07486	ITGAL
DB01962	KIT
DB05487	NFKB2
DB06770	CYP2B6
DB00458	CYP3A7
DB01863	BTK
DB03788	THRB
DB00811	NT5C2
DB00174	SLC38A3
DB08771	HSD11B1
DB00901	ADRB2
DB00199	CYP51A1
DB00421	CACNA2D2
DB02153	GSR
DB07382	ERN1
DB00413	HTR1A
DB00734	DRD3
DB01535	OPRD1
DB00246	ADRA1B
DB07947	AKT2
DB00505	CHRM3
DB00349	CYP3A4
DB01388	CACNA1F
DB06080	KIT
DB00347	CYP2E1
DB06741	GRIN2D
DB00234	CYP2D6
DB00268	CYP3A4
DB00174	ASRGL1
DB00273	CA2
DB01031	CA2
DB01863	CYTH2
DB03419	UCKL1
DB01045	CYP51A1
DB00228	GABRG1
DB00806	ADORA1
DB00133	CBS
DB02077	NOS1
DB01223	PDE3A
DB08838	ADRA2C
DB00540	PGRMC1
DB00290	LIG1
DB06144	CYP2D6
DB01183	CREB1
DB09029	IL17A
DB03709	PLG
DB00852	ADRA2A
DB02491	FGFR2
DB00334	HTR1A
DB01087	CYP1A2
DB03086	METAP2
DB09080	CYP2C8
DB00909	AOX1
DB00477	HTR6
DB06663	SSTR2
DB01595	GABRG2
DB03397	MGAT1
DB00142	LGSN
DB00481	AOX1
DB00508	HTR2B
DB01097	PTK2B
DB01452	OPRM1
DB03980	MAPK14
DB03588	CTSB
DB00273	GABRB3
DB03876	PRSS1
DB02952	CRH
DB04272	C8G
DB08143	F10
DB00128	RNASE1
DB01173	GRIN1
DB00390	CYP3A4
DB01544	CYP2E1
DB01148	CHRM2
DB00531	CYP2A6
DB00785	CHRM5
DB02758	PLA2G2E
DB01217	CYP1A2
DB01403	CHRM2
DB01427	TNF
DB07763	MT-CYB
DB07078	CHEK1
DB00523	RARG
DB04903	GABRA3
DB08699	CAMK2G
DB00157	MT-ND3
DB00421	CACNA2D1
DB00336	CYP2D6
DB00363	HTR2A
DB00131	APRT
DB01863	DAPP1
DB08756	PKIA
DB00835	CYP2B6
DB00714	ADRA2C
DB00188	CYP3A4
DB03963	NOS3
DB04669	CDK2
DB01128	CYP2D6
DB00607	CYP3A4
DB03929	GRIN1
DB07039	AR
DB00268	DRD4
DB00774	CA1
DB02027	NOS3
DB00909	CA5B
DB00432	TK1
DB08054	SRC
DB08915	PPARG
DB00163	PPP2CA
DB01110	CYP2E1
DB01016	CYP2C9
DB01104	MAOB
DB08593	PTPN1
DB01708	GABRD
DB07480	PTPN1
DB01392	ADRA2A
DB05831	EPCAM
DB01356	GRIA3
DB02552	GGPS1
DB00880	CA2
DB00801	GABRR1
DB02338	DPYD
DB01064	PIK3R3
DB00370	HTR2A
DB03476	PLAU
DB09080	CYP2C9
DB00252	CYP2C9
DB01011	CYP2E1
DB00543	DRD1
DB00783	NR1I2
DB01396	CYP11A1
DB04761	MMP13
DB03704	ADH5
DB07025	CHEK1
DB00514	NCF2
DB08007	CELA1
DB01205	GABRE
DB00625	CYP2B6
DB06804	PTGS2
DB08911	CYP2C8
DB07681	BCHE
DB00848	CHRNA3
DB07715	CSNK2A1
DB00700	CYP3A5
DB07164	CCNA2
DB00115	MTRR
DB00313	OGDH
DB00822	CYP3A4
DB01008	MGST2
DB02020	AKR1B1
DB02998	NCOA2
DB01359	ADRB2
DB08689	SDHA
DB04224	GLTP
DB05013	PRKCD
DB09016	SLC6A4
DB00252	SCN1A
DB00543	CYP2D6
DB00829	GABRA1
DB00228	GABRB1
DB01392	ADRA2C
DB06832	NCOA1
DB00300	NME1
DB08893	ADRB3
DB00655	CYP2B6
DB01354	CHRNA7
DB08915	PPARA
DB07009	ESR2
DB01054	CACNA2D1
DB01406	GNRHR
DB00784	CYP2C8
DB09054	CYP3A4
DB07506	CPA1
DB01089	SLC18A2
DB06209	CYP2B6
DB00866	HTR1A
DB01623	DRD1
DB04395	DTYMK
DB00260	DDC
DB00142	OPLAH
DB00863	CYP2C19
DB03132	TPI1
DB00568	CACNA1F
DB01039	CYP2C9
DB06209	P2RY12
DB08363	TP53
DB01812	SULT2B1
DB07764	IGHG1
DB00856	CYP3A4
DB04464	MT-CO1
DB00546	GABRD
DB08342	TRAPPC6A
DB06176	CYP1A1
DB04896	GRIN3B
DB00829	PTGS1
DB00241	CHRNA4
DB07768	AKR1C1
DB08092	MAPK14
DB01544	UGT1A1
DB01107	GABRA5
DB01045	CYP2C9
DB07015	DPP4
DB01381	GABRB2
DB08387	PDE10A
DB00482	CYP2C9
DB04510	PGAM2
DB04957	CYP1A1
DB00108	C1R
DB00255	CYP3A4
DB00277	CYP2C8
DB00196	CYP2C19
DB02646	MB
DB00051	TNF
DB01136	ADRA1D
DB01612	ALDH2
DB01393	CYP1A1
DB07800	F10
DB06991	MAPK14
DB04141	UQCRFS1
DB05492	ADRA1D
DB01253	CYP3A4
DB01136	CYP1A2
DB00515	GSTT1
DB00342	KCNH2
DB07341	ABO
DB00628	GABRE
DB00736	ATP4A
DB06262	ADRA1A
DB00669	MAOA
DB00608	TLR9
DB00726	ADRA2B
DB00625	CYP2D6
DB00997	NDUFS7
DB00571	ADRB1
DB00805	DRD1
DB04432	PRSS1
DB00446	CD55
DB06912	LYZ
DB00119	SLC16A5
DB00655	CYP1A2
DB00909	CACNA1G
DB00688	UGT1A6
DB00277	PDE5A
DB02379	PYGL
DB01097	CYP1A2
DB08822	AGTR1
DB00114	CBS
DB00458	SLC6A4
DB01041	PTGS1
DB00371	GABRG3
DB00158	FOLR2
DB03042	GPI
DB00316	SULT1E1
DB00829	GABRR1
DB00172	EPRS
DB08178	CCNA2
DB00072	EGFR
DB00041	IL2RA
DB00490	HTR1A
DB01195	CYP2C9
DB01034	FASN
DB03924	CSNK2A1
DB02196	EXTL2
DB00203	CYP1A1
DB08836	ACE
DB01007	CYP2C9
DB00544	UPP2
DB01398	PTGS1
DB01015	CYP3A4
DB04753	PNP
DB07672	IGHG1
DB07368	PRSS1
DB05198	AURKA
DB00169	CYP11A1
DB07204	PRKACA
DB08881	BRAF
DB00543	HRH1
DB00755	CYP4A11
DB01161	SCN10A
DB04272	LSM6
DB00706	CYP2D6
DB08162	PKIA
DB00306	GABRA6
DB01128	CYP2C19
DB02726	PKLR
DB08330	MT-CYB
DB00402	GABRA5
DB09280	CFTR
DB01613	NPR1
DB03777	PDPK1
DB00139	P3H3
DB01942	HMOX1
DB00780	CYP2C8
DB08371	YARS
DB07515	F2
DB04841	CACNA1G
DB02719	PYGM
DB07888	MIF
DB01049	HTR7
DB05343	S100B
DB06144	CYP3A4
DB08846	CSNK2A1
DB00108	ITGA4
DB03612	HADH
DB01535	OPRM1
DB01873	TUBB
DB03944	TNNC1
DB03305	NOS3
DB01618	HTR1A
DB00608	GSTA2
DB01356	GSK3B
DB00812	PTGS1
DB00568	CHRM4
DB05360	ADORA1
DB00907	SLC6A3
DB06204	HTR3A
DB00312	GABRA5
DB00829	GABRA4
DB00624	CYP2C9
DB01195	CYP2D6
DB06207	ADRA1B
DB00988	HTR1A
DB04464	HLA-B
DB05773	CYP3A5
DB01367	BCL2
DB00637	CYP2J2
DB00296	CYP2B6
DB09303	PCSK9
DB01181	CYP2C8
DB01589	GABRG2
DB00054	C1QA
DB00509	THRB
DB06843	GNAS
DB01588	GABRG1
DB01151	CYP3A4
DB00232	SLC12A1
DB07664	CLK3
DB01050	UGT2B4
DB01015	CYP2C8
DB05299	IL2
DB01015	NAT2
DB06741	UGT1A1
DB07957	CELA1
DB00157	NDUFA11
DB00669	HTR1D
DB01672	LCN2
DB07261	F10
DB01115	CACNA1D
DB01016	KCNJ8
DB00201	PDE11A
DB01717	AK8
DB00449	ADRA1A
DB01087	CYP1B1
DB08547	IGHG2
DB03796	LALBA
DB00418	CYP2C8
DB09076	CHRM2
DB00519	ACE
DB00382	CYP1A2
DB00203	CYP3A4
DB00292	CYP11B2
DB01224	ADRA2A
DB04518	CDK2
DB03448	RNASE4
DB01622	HTR2A
DB02671	MB
DB06986	PYGM
DB00131	ACSS2
DB08562	IGHG1
DB04367	CLK1
DB04522	CFTR
DB08889	PSMB1
DB02925	SLC12A1
DB01013	CYP1A2
DB06738	OPRD1
DB01388	CACNA1H
DB00087	C1QC
DB08875	MET
DB07002	NOS2
DB03006	LYZ
DB01454	HTR2A
DB00259	CYP2E1
DB01221	CYP2B6
DB00038	IL11RA
DB01058	CYP2D6
DB00715	CHRM1
DB08348	EEF2
DB01611	TLR7
DB01291	ADRB1
DB00776	CYP3A5
DB00333	CYP2C18
DB00949	GRIN2B
DB04315	ARL5B
DB01454	HTR2C
DB07092	DPP4
DB07333	KDR
DB02059	SIRT5
DB01213	ADH1B
DB00738	CYP3A4
DB01380	NR3C1
DB00783	CYP2C9
DB02420	PTPN1
DB07662	SRC
DB05487	NFKB1
DB00353	CYP3A4
DB04868	ABL1
DB00497	ORM2
DB01394	CYP2C9
DB04137	PFKFB1
DB00114	PHYKPL
DB00009	PLAUR
DB01215	GABRR1
DB02153	PAPOLA
DB03747	HEXB
DB00126	EGLN1
DB01351	CHRNA4
DB01110	KCNN3
DB01708	GABRA6
DB07978	DHODH
DB05294	FMO1
DB05790	TACR1
DB00758	CYP3A5
DB00543	DRD2
DB00751	HTR2A
DB00788	CYP1A2
DB05254	PLAU
DB06820	CYP1A2
DB07556	MMP12
DB02735	STS
DB00703	CYP2C9
DB00700	CYP11B2
DB07697	PKM
DB00142	TAT
DB01236	ATP2C1
DB02494	CPA1
DB00242	POLE
DB02193	PLAU
DB02328	CTH
DB00818	GABRA6
DB00842	UGT2B15
DB07251	EPHB4
DB08484	FBP1
DB00356	CYP1A1
DB00071	PCSK2
DB02987	OAS1
DB08011	MAPK10
DB05042	HTR6
DB04839	AR
DB08033	KIF11
DB00126	EGLN3
DB00428	CYP1A1
DB05506	PTPN1
DB01030	TOP1MT
DB05875	CYP19A1
DB00237	CHRNA7
DB00656	CYP3A7
DB00614	MAOA
DB00962	CYP3A5
DB02594	DCK
DB01029	JUN
DB06201	SCN9A
DB09068	HTR3A
DB06738	CYP2C9
DB00171	ADCY1
DB04677	MAOB
DB03461	AKR1C1
DB06210	CYP2C8
DB00002	FCGR1A
DB08696	VDR
DB01404	AHR
DB02772	ATOX1
DB09302	PCSK9
DB01166	CYP1A2
DB00312	GABRD
DB06626	FLT4
DB00421	CACNB1
DB00590	CYP2D6
DB06701	SLC6A2
DB00589	CYP2D6
DB00951	CYP1A2
DB04287	PLA2G2A
DB07263	PTPN1
DB05812	CYP2C8
DB00850	DRD2
DB00605	MAPK3
DB04701	GSTM2
DB05187	PPARA
DB08877	JAK2
DB01589	GABRG1
DB02073	MB
DB02393	PFKFB1
DB00633	CYP1A2
DB01259	EGFR
DB03600	GLTP
DB00417	SLC15A1
DB08374	CTRB1
DB00431	GLRA1
DB00396	CYP1B1
DB04680	ABO
DB05159	CCR2
DB00925	ADRA2C
DB00189	GABRD
DB00125	NOS2
DB00189	GABRA2
DB08818	TNFAIP6
DB00963	PTGS1
DB08813	FOS
DB01591	CHRM1
DB00120	FARSA
DB01274	CYP2D6
DB00835	HRH1
DB02485	CMAS
DB01274	CYP2A6
DB06626	UGT1A1
DB08059	PIK3R1
DB02195	MAPK14
DB01373	SPTBN1
DB01236	MT-ND1
DB01234	NOS2
DB01274	ADRB2
DB02116	MAPK1
DB02556	KYAT1
DB09073	CDK6
DB07544	BCAT1
DB00081	FCGR3A
DB01303	ADORA1
DB00142	FPGS
DB01109	SELP
DB00514	SLC6A4
DB01355	GABRA1
DB00142	NADSYN1
DB00318	UGT2B4
DB00833	MPO
DB01699	ABAT
DB00055	PF4
DB02986	CA2
DB00590	KCNH2
DB01303	HDAC2
DB01114	SLC6A2
DB06822	ADAMTS4
DB00490	CYP3A4
DB01191	CYP2A6
DB02379	SMARCA5
DB03987	DHFR
DB00370	SLC6A3
DB00120	TAT
DB00167	IARS
DB00493	ALB
DB03608	PRSS1
DB01780	YWHAE
DB00668	CYP3A4
DB08912	CYP2C8
DB02482	PRKCQ
DB08708	PIM1
DB02585	PRSS3
DB05447	HNF4A
DB00074	C1QA
DB00201	CYP3A7
DB00450	DRD2
DB00464	PROC
DB00628	GABRA3
DB01367	MAOB
DB03796	SEC14L2
DB01931	GRIN1
DB00363	CALY
DB09080	ADRB2
DB00220	CYP3A4
DB00749	UGT1A10
DB07862	DHFR2
DB01079	HTR2C
DB00378	PGR
DB00755	CYP2C9
DB07310	HSD11B1
DB00071	SYTL4
DB00909	SCN3A
DB00025	VWF
DB07623	CYP2A6
DB00898	CACNB1
DB05255	CASR
DB08009	CAMK1G
DB00398	RET
DB00652	SIGMAR1
DB01399	PTGS1
DB04771	F2
DB00622	CACNA1C
DB00678	AGTR1
DB09068	CYP2D6
DB07347	ATP6V1B2
DB00312	GABRP
DB00856	PTGS2
DB00412	CYP1A2
DB02076	PGD
DB00041	XDH
DB00255	ESRRG
DB00169	CYP2R1
DB05202	VWF
DB00786	MMP28
DB05153	MET
DB00661	CYP3A5
DB07940	BCHE
DB00116	ALDH1L1
DB00814	CYP2C9
DB00463	GABRD
DB01558	GABRB1
DB00170	NQO2
DB06655	MME
DB05201	CNR1
DB01278	RAMP3
DB04014	CDK5
DB08094	CDK2
DB00186	GABRQ
DB06777	CYP27A1
DB08406	DHFR
DB04468	ESR1
DB01942	ACYP2
DB01983	ARG1
DB02376	LCT
DB07060	HAO1
DB01234	ANXA1
DB02789	SULT2B1
DB05260	BGLAP
DB00292	GABRA3
DB07075	CHEK1
DB08878	DHFR
DB01536	HSD17B1
DB04942	RARB
DB02715	ESR1
DB00064	APOE
DB08341	PTK2B
DB00321	HTR1B
DB00835	CYP2D6
DB00146	CYP24A1
DB00905	PTGER1
DB00335	ADRB1
DB05740	CHRNA4
DB00669	HTR1B
DB00188	CYP1A2
DB02448	PLA2G2A
DB00970	TOP2A
DB07614	HPGDS
DB07981	PTGS1
DB00210	RARA
DB00537	CYP3A7
DB04841	CACNA1I
DB01567	GABRA5
DB00398	UGT1A1
DB01256	CYP3A4
DB00002	C1R
DB05882	ESR1
DB02445	GNPDA1
DB02838	DAO
DB01048	ADK
DB00402	CYP2C8
DB00986	CHRM2
DB01238	DRD4
DB04147	CFL1
DB00098	CD1A
DB00186	GABRB3
DB00227	PON3
DB00418	GRIN2D
DB00215	CYP2B6
DB00668	ADRB3
DB00404	GABRG2
DB04315	EFL1
DB08155	CA2
DB08023	MAPK10
DB01354	GABRA5
DB02315	PRKAR1A
DB03147	IL4I1
DB02689	ARG1
DB00055	CP
DB01439	OPRK1
DB00726	CHRM3
DB05708	CYP2E1
DB00738	CYP3A5
DB01201	CYP2C8
DB07244	NOS3
DB00727	ALDH2
DB01622	HTR1A
DB00418	CYP1A2
DB00449	ADRB2
DB09280	CYP2C8
DB04593	F7
DB06850	F2
DB01576	ADRA1B
DB01437	GABRE
DB03216	AHCY
DB08362	CSNK2A1
DB02751	GAMT
DB04315	ARL1
DB00129	SLC7A3
DB00228	GABRA6
DB00363	DRD4
DB00527	SCN10A
DB00195	ADRB1
DB00751	HTR7
DB04315	HRAS
DB07615	HPGDS
DB08912	SIK1
DB01073	DCK
DB00091	PPP3R2
DB00694	XDH
DB00257	CYP3A7
DB00753	ATP5F1D
DB00317	CYP2D6
DB00502	CYP1A1
DB01645	NCOA2
DB03310	GSR
DB08751	HRAS
DB03233	DTYMK
DB01107	CYP2D6
DB03461	FDXR
DB00111	C1QA
DB00363	CHRM4
DB03621	FKBP1A
DB07096	PARP1
DB01437	GABRA6
DB07594	HSP90AB1
DB00092	C1R
DB08156	CA1
DB00132	SLC8A1
DB04172	PLAU
DB00339	CYP3A4
DB01211	CYP3A5
DB01544	CYP1A2
DB00237	GABRG1
DB00939	PTGS2
DB00418	GRIN2A
DB01183	CYP3A4
DB00366	CHRM1
DB00139	P3H2
DB04889	SLC6A4
DB09046	LEPR
DB06694	ADRA2C
DB01073	POLA1
DB00157	ALDH1A1
DB06751	PDE4A
DB00413	HTR2A
DB01045	SLCO2B1
DB01520	GRIN2D
DB01954	PDE4B
DB00134	MTRR
DB07636	UQCRFS1
DB00213	CYP1A2
DB00603	PGR
DB00969	CYP2E1
DB03899	HSP90AA1
DB00619	CYP2D6
DB04312	ADH1C
DB00988	SLC6A4
DB01812	NDST1
DB04723	CPB1
DB00051	C1R
DB08709	PIM1
DB00372	DRD4
DB05241	PIK3CA
DB00055	SERPINA5
DB00259	CYP2C19
DB03428	CDK1
DB07443	DHODH
DB01049	ADRA1D
DB00280	KCND3
DB07655	CHEK1
DB02342	HIF1A
DB02010	SYK
DB00619	KIT
DB00921	OPRD1
DB00814	PTGS2
DB00371	CYP2E1
DB00363	HTR1A
DB00157	AKR1C2
DB01028	MT-ND1
DB00774	CA2
DB05812	CYP1A2
DB00696	SLC6A2
DB00228	GABRB3
DB00831	S100A4
DB04409	FGF1
DB06695	UGT2B7
DB08219	CCNA2
DB08918	CYP2D6
DB00568	DRD1
DB01437	GABRD
DB00934	ADRA1B
DB03832	CROT
DB01388	CYP3A7
DB01151	HTR1A
DB02966	GRIA2
DB01425	DRD2
DB00637	CYP2D6
DB01023	CYP3A7
DB01694	HIF1AN
DB06908	PPARG
DB08896	CYP2C8
DB00157	AASS
DB01088	PDE4A
DB01076	CYP2D6
DB00619	CYP3A4
DB03964	ACO2
DB07489	CSNK1G3
DB08772	AKR1B10
DB00893	FTH1
DB00800	DRD1
DB00078	FCGR1A
DB03559	ADH4
DB00688	UGT1A8
DB05304	CA9
DB00186	GABRB1
DB02900	M6PR
DB00250	CYP2C18
DB08235	ARPC1B
DB00563	MTHFR
DB00693	CYP1A1
DB00904	CYP1A2
DB01196	ESR2
DB01567	GABRD
DB02337	BHMT
DB07917	HPGDS
DB00925	ADRA1B
DB02973	CDK2
DB00126	P3H3
DB03058	CFD
DB06077	DRD2
DB00801	GABRR2
DB00316	SULT2A1
DB00514	OPRD1
DB00921	CYP2C8
DB00149	LARS
DB00316	CYP2A6
DB01548	OPRD1
DB00977	CYP2C8
DB07076	PLAU
DB01708	GABRA4
DB01132	CYP2D6
DB00128	ADSSL1
DB01941	RXRB
DB03082	PLAU
DB01355	PTGS1
DB01186	HTR2C
DB09128	ADRA2C
DB01026	CYP2D6
DB03245	GCDH
DB00134	MTHFR
DB04661	CD1D
DB04395	DAPK1
DB01069	CHRM4
DB09078	FGFR2
DB01229	CYP1B1
DB04141	UQCR10
DB01224	CYP3A5
DB08660	CSNK2A1
DB00074	FCGR3A
DB00896	NR3C1
DB01095	CYP2C8
DB01103	PLCL1
DB04991	ADAM10
DB05466	TACR1
DB00836	CYP2C8
DB00683	GABRA5
DB00463	GABRB1
DB01142	CYP2D6
DB01306	CYP1A2
DB00468	CYP2D6
DB05483	ZFY
DB02072	PTPN1
DB00514	SLC6A2
DB06848	TPSAB1
DB01559	GABRB2
DB01036	CHRM2
DB05740	CHRNB2
DB00203	CYP3A7
DB02379	SIGLEC1
DB00242	RRM2
DB01750	SKP1
DB01075	CYP1A2
DB05065	DPP4
DB00426	AOX1
DB00661	CYP1A2
DB00388	ADRA1D
DB03127	PLAU
DB06702	CHRM4
DB06870	AR
DB00248	ADRA2C
DB01148	CHRM1
DB00712	CYP2C9
DB01406	CYP19A1
DB05337	GLIPR1
DB03657	PYGM
DB07403	PDK1
DB00543	HTR1B
DB03393	PPIA
DB03187	GCSH
DB01101	TYMP
DB01588	GABRA4
DB00246	HTR1B
DB00603	CYP2C8
DB01075	CYP2C18
DB05017	IL6
DB01483	GABRA4
DB03837	CTSS
DB00683	GABRG1
DB01206	CYP2D6
DB00401	CACNB2
DB00964	ADRA2B
DB00369	TYMP
DB07131	F2
DB00277	CYP2C9
DB01618	HTR2A
DB02211	MAOB
DB00220	CYP2C19
DB01023	CACNB2
DB00476	SLC6A4
DB07088	F2
DB00945	NFKB1
DB00134	BHMT
DB07128	F2
DB00338	CYP2C8
DB01074	CPT2
DB04258	VDR
DB00998	HTR1B
DB00185	CYP3A4
DB00907	CYP2C8
DB03491	NME1
DB00875	ADRA1A
DB01191	CYP1A2
DB00176	CYP3A7
DB00297	PTGER1
DB07567	ESR1
DB00186	GABRB2
DB00667	HNMT
DB00690	GABRR1
DB07900	MMP8
DB00157	ALDH4A1
DB00320	ADRA2A
DB07189	ADAM17
DB00668	TNF
DB00120	FARSB
DB00714	CALY
DB06042	TUBB1
DB00246	CYP3A7
DB00313	SCN7A
DB00398	KDR
DB00540	CHRM2
DB01233	HTR4
DB01353	GABRA5
DB01355	GABRA4
DB08788	HSP90AA1
DB00672	ABCC8
DB07469	MYH14
DB00753	GRIA1
DB01131	CYP2C19
DB04436	SOD2
DB05147	TUBA4B
DB01601	CYP2D6
DB01098	CYP2C19
DB04326	TPI1
DB07232	PARP2
DB07204	PKIA
DB00157	OGDH
DB04601	CA2
DB00398	RAF1
DB04126	CTSH
DB00918	HTR1D
DB00718	AK4
DB00208	P2RY12
DB00316	CYP1A1
DB00276	CYP2D6
DB01184	CYP3A4
DB01752	DPH5
DB03865	F2
DB01240	CYP2C9
DB02010	ITK
DB01355	CYP2C9
DB01805	PRSS2
DB02494	RPL11
DB03604	THRB
DB00851	POLA2
DB00370	ADRB1
DB00074	FCGR2A
DB00926	RXRA
DB08868	CYP3A4
DB04141	SDHD
DB00207	PADI4
DB01151	SLC6A2
DB04837	HRH1
DB01049	GABRD
DB03740	SIGLEC7
DB00201	PDE6C
DB00029	PLAUR
DB00217	KCNJ1
DB00759	CYP3A4
DB00312	GABRA3
DB01059	CYP2A6
DB00860	CYP2A6
DB03010	TUBB4A
DB05879	TNF
DB01277	IGF2R
DB04937	TERT
DB01186	DRD3
DB00292	GABRE
DB00292	GABRA2
DB00381	CA1
DB00222	KCNJ11
DB00455	CYP2D6
DB01353	GABRA3
DB05232	SCN2A
DB00166	LIPT1
DB01752	GNMT
DB01159	CYP2E1
DB02987	RNASE1
DB05890	VEGFA
DB08599	MMP12
DB00499	AR
DB02342	CYP19A1
DB03974	NOS3
DB00628	GABRG2
DB00829	CYP2C19
DB06962	TPSB2
DB00721	KCNN4
DB07013	MMP13
DB08073	PKIA
DB08910	CYP1A2
DB00087	FCGR2A
DB00523	RXRG
DB01142	HTR6
DB00818	GABRA4
DB05369	HRH2
DB00870	CYP2C9
DB01029	CYP3A4
DB08022	PIM1
DB00631	RRM1
DB01351	GABRA3
DB01590	CYP3A4
DB00234	CYP3A4
DB01621	HTR1A
DB06589	CYP2C8
DB03516	DPYD
DB05408	CASP1
DB04077	HPGDS
DB04077	PAEP
DB04395	GSS
DB06626	FLT1
DB00143	LTC4S
DB00812	CYP3A4
DB00692	ADRA1A
DB00312	CHRNA7
DB00495	CYP2C19
DB00852	ATF3
DB06262	ADRA2B
DB00142	GRIN2D
